,environment,mAP50,mAP50-95
153,dessert,0.5694099639665802,0.3048892480241619
154,snow,0.4694636094352936,0.20271676447375842
155,rural,0.7346370036575239,0.4372467182952948
156,dessert,0.6321294766248533,0.3576420434580818
157,snow,0.5838099288343984,0.2889436098555158
158,rural,0.6458832807503758,0.42264004369939556
159,dessert,0.6670913373661189,0.3739769573449278
160,snow,0.6462619668300738,0.3637762682312535
161,rural,0.7163957000636214,0.48809928484790077
162,dessert,0.6190039441091724,0.3520931520858051
163,snow,0.49737191151870747,0.2484097967405313
164,rural,0.6539647727596026,0.4463234409705451
165,dessert,0.6013101776426144,0.3343583525438151
166,snow,0.6432233480712289,0.3617578040354841
167,rural,0.6779698471572216,0.44939588040033496
168,dessert,0.5986595744886396,0.37356753864743886
169,snow,0.5222446920096371,0.27823674659986974
170,rural,0.5639324357796563,0.345511346443054
171,dessert,0.6831964595684431,0.43611988205791513
172,snow,0.7461411196089334,0.40214018141746327
173,rural,0.6370823803275908,0.3849266832094394
174,dessert,0.577087641638204,0.3071733839526439
175,snow,0.601505359081363,0.34749576808257454
176,rural,0.6574628883407261,0.4282160233626592
177,dessert,0.5753615067715356,0.26146228653110026
178,snow,0.5742123907184417,0.3259291136306928
179,rural,0.6755715559702492,0.4422117702697119
180,dessert,0.6276109758112672,0.3682383671016835
181,snow,0.6152188160795428,0.32881131571056
182,rural,0.5754709500754548,0.3559480997170528
183,dessert,0.5956018709883335,0.32749251193410217
184,snow,0.46845027541005463,0.2424721226998782
185,rural,0.6495651126394204,0.37851141789429116
186,dessert,0.5642883446329577,0.292757182863313
187,snow,0.5612724754468696,0.32631598216579155
188,rural,0.6521387398797509,0.40233629593170955
189,dessert,0.5714551317882289,0.31390212947153706
190,snow,0.571276776464743,0.3316112525755518
191,rural,0.6816067031594623,0.3975035777124311
192,dessert,0.5727035812885921,0.2873470571892336
193,snow,0.6104048214383466,0.3365459750124287
194,rural,0.6235712308608904,0.4145783264515991
195,dessert,0.6309374231491122,0.40704787695518635
196,snow,0.5805890021113835,0.3022300310814844
197,rural,0.6488771564842362,0.38888872863586565
198,dessert,0.5270320062242568,0.2903988204297058
199,snow,0.565844274700838,0.32018283871695086
200,rural,0.6777291931255889,0.44911198633320354
201,dessert,0.6412313901661827,0.3940031101178976
202,snow,0.5092462404621168,0.2929821581628261
203,rural,0.6289324837977923,0.41328073898305345
204,dessert,0.5623152935278277,0.3209788043222757
205,snow,0.4198972078371362,0.23705324587523918
206,rural,0.5945298938237569,0.344739821652454
207,dessert,0.620605106550022,0.34598893679930176
208,snow,0.5725016725342867,0.29247657942248495
209,rural,0.6554210131101988,0.4456835983220778
210,dessert,0.7007301284942482,0.4655069119262049
211,snow,0.5429825361649394,0.3106223160458455
212,rural,0.6062465269291524,0.39983033136346435
213,dessert,0.5369673813514038,0.35492197733678976
214,snow,0.5040212344564536,0.2814228994869748
215,rural,0.5537895022954443,0.3324460076960294
216,dessert,0.625300577339188,0.3657191137794803
217,snow,0.5966400614623888,0.3319013336812913
218,rural,0.7353472050694709,0.4815586926205375
219,dessert,0.5725485927345116,0.3199773285277093
220,snow,0.5861925371187703,0.33944302089115375
221,rural,0.6709987113569421,0.4640335577379463
222,dessert,0.6711544713377956,0.4048329198478114
223,snow,0.6447209198761947,0.3754762313893719
224,rural,0.74055571351342,0.4819158714099574
225,dessert,0.5797692826842379,0.3082392704800826
226,snow,0.5671191103068227,0.2836653621271469
227,rural,0.6090027809506012,0.37657188641043865
228,dessert,0.5808443159654263,0.2599847871380613
229,snow,0.6369413456538442,0.34401780705930624
230,rural,0.7094128838335015,0.46405819697036066
231,dessert,0.6652818928893933,0.36737934151563445
232,snow,0.5818819238125931,0.33899961966829983
233,rural,0.671690615741169,0.4235105238628446
234,dessert,0.6418886210937316,0.3463608681543252
235,snow,0.47141667341883203,0.23583687718708962
236,rural,0.556389056834212,0.3207609654491901
237,dessert,0.583629785765789,0.29681087485293917
238,snow,0.6583169513436751,0.3481047589684567
239,rural,0.7660594004428842,0.4897490700104704
240,dessert,0.6184165492359314,0.3834373813258536
241,snow,0.5815898293883969,0.29610773260226314
242,rural,0.7813574977985581,0.5039080507653668
243,dessert,0.563197863736592,0.29640978304783555
244,snow,0.6753685480137344,0.38532237731379465
245,rural,0.6398784764840947,0.3823209562916983
246,dessert,0.6273392531891752,0.32432416364479033
247,snow,0.5516919976471364,0.28599612919164763
248,rural,0.758604148595292,0.47649454613006553
249,dessert,0.5836507525432507,0.2952604693177543
250,snow,0.4510358903351553,0.2321149769396383
251,rural,0.7589341939843931,0.5431889370109524
252,dessert,0.620007952929128,0.28722905160835693
253,snow,0.5896049044379599,0.3176408622487505
254,rural,0.648022839571057,0.3878318405821162
255,dessert,0.6209301184655385,0.33750970811270337
256,snow,0.5114102097657602,0.2768730771164016
257,rural,0.531884687402737,0.2834478260682193
258,dessert,0.6236804658865719,0.3060290361610901
259,snow,0.4887319357347173,0.25877597255662443
260,rural,0.6283605324645276,0.33756930099659027
261,dessert,0.5667023266154103,0.2631430607090132
262,snow,0.6981678163854668,0.36223366004211593
263,rural,0.7557027356123684,0.5166121905522408
264,dessert,0.4980676499483072,0.28668806562883586
265,snow,0.46573809744306327,0.2595898991054836
266,rural,0.8360691737413063,0.5664048383316509
267,dessert,0.6175554251543387,0.31692248345867097
268,snow,0.6894762534973483,0.3539841653661272
269,rural,0.6473761560000134,0.419539568523125
270,dessert,0.6781734564499438,0.3280952204540486
271,snow,0.5684466295729211,0.3408654550354405
272,rural,0.6107418977645936,0.368665582906335
273,dessert,0.5063536602628269,0.2776524756516691
274,snow,0.5419642601123329,0.3016297753580526
275,rural,0.6647833156889479,0.42869137954349085
276,dessert,0.5446649650753421,0.2988717270193855
277,snow,0.6052998633241773,0.33841882054571887
278,rural,0.6244679028667283,0.3743308338796512
279,dessert,0.642818196973723,0.42885801678374574
280,snow,0.5495079323689738,0.3066410068963527
281,rural,0.7126254174672735,0.49006291736652036
282,dessert,0.671475795566465,0.37769663780203977
283,snow,0.4837694728774166,0.25595493898710275
284,rural,0.6787124165108249,0.43054590401749343
285,dessert,0.5581969000128882,0.31226845915887247
286,snow,0.7026886527860424,0.36796261535709485
287,rural,0.7203091614583528,0.45566332709543966
288,dessert,0.6587330358578809,0.36883296105106
289,snow,0.4371238024861422,0.2649397092483358
290,rural,0.6427043188370248,0.37850035033245777
291,dessert,0.571130636857921,0.33108165610530954
292,snow,0.4943362963850283,0.29601417618886405
293,rural,0.5154919953000106,0.3276765232149904
294,dessert,0.536303556891967,0.2532812584112155
295,snow,0.5843882636654004,0.3021755056688641
296,rural,0.6465152636038363,0.4743045229912496
